"","formulaString","adj_r2"
"326","salary~TRB*Pos+`eFG%`",0.305179910287554
"327","salary~`eFG%`*Pos+TRB",0.29341245828752
"328","salary~TRB+`eFG%`+Pos",0.290711508944404
"329","salary~`eFG%`+TRB+Pos",0.290711508944404
"330","salary~Pos+TRB+`eFG%`",0.290711508944404
"331","salary~TRB*`eFG%`*Age",0.441839646483247
"332","salary~TRB*`eFG%`+Age",0.38805279899202
"333","salary~TRB*Age+`eFG%`",0.401905777795233
"334","salary~`eFG%`*Age+TRB",0.367736241085852
"335","salary~TRB+`eFG%`+Age",0.367953328130241
"336","salary~`eFG%`+TRB+Age",0.367953328130241
"337","salary~Age+TRB+`eFG%`",0.367953328130241
"338","salary~TRB*Pos*Age",0.477930340660763
"339","salary~TRB*Pos+Age",0.415061055281269
"340","salary~TRB*Age+Pos",0.441451573437125
"341","salary~Pos*Age+TRB",0.417490579891234
"342","salary~TRB+Pos+Age",0.402193227725802
"343","salary~Pos+TRB+Age",0.402193227725802
"344","salary~Age+TRB+Pos",0.402193227725802
"345","salary~AST*STL*BLK",0.426965817934401
"346","salary~AST*STL+BLK",0.407455750027311
"347","salary~AST*BLK+STL",0.414872992642915
"348","salary~STL*BLK+AST",0.401384624531896
"349","salary~AST+STL+BLK",0.402107256294735
"350","salary~STL+AST+BLK",0.402107256294735
"351","salary~BLK+AST+STL",0.402107256294736
"352","salary~AST*STL*`eFG%`",0.383214741512844
"353","salary~AST*STL+`eFG%`",0.376016593594422
"354","salary~AST*`eFG%`+STL",0.37225119094322
"355","salary~STL*`eFG%`+AST",0.368445022539282
"356","salary~AST+STL+`eFG%`",0.364007721126307
"357","salary~STL+AST+`eFG%`",0.364007721126307
"358","salary~`eFG%`+AST+STL",0.364007721126307
"359","salary~AST*STL*Pos",0.444474884211671
"360","salary~AST*STL+Pos",0.406828664537854
"361","salary~AST*Pos+STL",0.443350789885517
"362","salary~STL*Pos+AST",0.4249187841246
"363","salary~AST+STL+Pos",0.395296875386077
"364","salary~STL+AST+Pos",0.395296875386077
"365","salary~Pos+AST+STL",0.395296875386077
"366","salary~AST*STL*Age",0.545288376882028
"367","salary~AST*STL+Age",0.464592625433433
"368","salary~AST*Age+STL",0.504263102317595
"369","salary~STL*Age+AST",0.479537531075708
"370","salary~AST+STL+Age",0.45266736854364
"371","salary~STL+AST+Age",0.45266736854364
"372","salary~Age+AST+STL",0.45266736854364
"373","salary~AST*BLK*`eFG%`",0.408073179545604
"374","salary~AST*BLK+`eFG%`",0.410522454441092
"375","salary~AST*`eFG%`+BLK",0.395589863064855
"376","salary~BLK*`eFG%`+AST",0.39447115268888
